,data,time
0,-106.3125,5701.0
1,-108.75,11352.0
2,-108.0,17211.0
3,-108.1875,23139.0
4,-110.0625,29046.0
5,-110.25,35397.0
6,-109.125,42444.0
7,-109.3125,48881.0
8,-108.375,55223.0
9,-107.4375,61348.0
10,-109.3125,67798.0
11,-108.5625,73842.0
12,-107.4375,79856.0
13,-107.25,85870.0
14,-106.5,92676.0
15,-105.9375,98964.0
16,-105.75,105463.0
17,-104.8125,111538.0
18,-103.125,117275.0
19,-103.125,123236.0
20,-102.5625,129452.0
21,-103.5,135838.0
22,-104.4375,142249.0
23,-105.5625,148770.0
24,-105.5625,154703.0
25,-105.9375,160488.0
26,-108.0,166312.0
27,-106.6875,172874.0
28,-106.5,180061.0
29,-105.9375,187061.0
30,-104.25,193615.0
31,-104.0625,200315.0
32,-104.0625,206366.0
33,-104.4375,212196.0
34,-104.8125,218882.0
35,-105.375,225803.0
36,-104.25,232664.0
37,-104.25,239416.0
38,-104.8125,245665.0
39,-104.0625,251370.0
40,-103.125,257194.0
41,-104.0625,263022.0
42,-105.0,268989.0
43,-104.25,275262.0
44,-103.3125,281922.0
45,-103.125,288771.0
46,-103.6875,295132.0
47,-105.1875,301609.0
48,-106.125,307564.0
49,-105.75,313537.0
50,-107.0625,320367.0
51,-108.9375,327139.0
52,-108.0,333846.0
53,-107.0625,340205.0
54,-109.125,346313.0
55,-108.0,352058.0
56,-109.3125,357870.0
57,-108.5625,363852.0
58,-108.0,370477.0
59,-108.75,377335.0
60,-110.25,383944.0
61,-111.1875,390772.0
62,-109.125,396801.0
63,-110.0625,402558.0
64,-109.6875,408389.0
65,-110.8125,414616.0
66,-108.9375,420861.0
67,-108.5625,427164.0
68,-107.0625,433434.0
69,-107.25,439340.0
70,-108.1875,445199.0
71,-107.25,451027.0
72,-107.0625,456843.0
73,-108.5625,463497.0
74,-109.3125,470681.0
75,-107.8125,477588.0
76,-109.3125,484240.0
77,-108.5625,490873.0
78,-108.75,497097.0
79,-109.125,502753.0
80,-108.1875,508596.0
81,-106.125,514691.0
82,-106.6875,521252.0
83,-106.5,528541.0
84,-108.5625,535414.0
85,-110.4375,541831.0
86,-111.5625,548588.0
87,-112.125,554725.0
88,-113.8125,560748.0
89,-113.25,566726.0
90,-113.25,572739.0
91,-112.875,578927.0
92,-114.1875,585069.0
93,-112.6875,591080.0
94,-110.8125,597086.0
95,-112.3125,603086.0
96,-111.5625,609097.0
97,-110.4375,615102.0
98,-109.875,621181.0
99,-110.0625,627640.0
100,-108.9375,634360.0
101,-108.5625,641248.0
102,-108.75,647603.0
103,-108.9375,654073.0
104,-109.875,660418.0
105,-110.625,666267.0
106,-110.25,672147.0
107,-110.0625,678905.0
108,-110.25,685679.0
109,-111.5625,692018.0
110,-111.0,698138.0
111,-110.625,704414.0
112,-109.6875,710370.0
113,-107.625,716945.0
114,-108.375,722918.0
115,-109.3125,729191.0
116,-108.75,735779.0
117,-107.8125,742715.0
118,-107.625,749111.0
119,-107.0625,755219.0
120,-105.75,761465.0
121,-106.6875,767644.0
122,-105.375,773462.0
123,-105.75,780339.0
124,-105.375,787743.0
125,-104.8125,793936.0
126,-105.5625,799844.0
127,-104.4375,805782.0
128,-102.75,811590.0
129,-101.8125,817685.0
130,-101.8125,823595.0
131,-102.75,829471.0
132,-101.625,835612.0
133,-100.875,843803.0
134,-100.3125,850425.0
135,-102.375,856942.0
136,-103.6875,862992.0
137,-104.25,869009.0
138,-102.375,875833.0
139,-101.8125,882653.0
140,-101.25,889397.0
141,-100.3125,895643.0
142,-99.9375,902057.0
143,-99.375,907968.0
144,-99.1875,913890.0
145,-97.3125,919790.0
146,-97.3125,925858.0
147,-96.5625,932952.0
148,-94.5,939727.0
149,-94.6875,946082.0
150,-94.875,952370.0
151,-92.4375,958364.0
152,-92.25,964872.0
153,-88.125,971756.0
154,-87.1875,979138.0
155,-87.75,985652.0
156,-85.125,992281.0
157,-84.5625,998881.0
158,-86.4375,1004901.0
159,-87.5625,1010819.0
160,-87.0,1016769.0
161,-85.6875,1022736.0
162,-85.875,1029879.0
163,-84.0,1036995.0
164,-82.5,1043554.0
165,-81.0,1050266.0
166,-78.5625,1056432.0
167,-77.0625,1062274.0
168,-75.75,1068213.0
169,-75.5625,1074760.0
170,-74.4375,1081441.0
171,-75.0,1088975.0
172,-71.4375,1096305.0
173,-71.625,1102717.0
174,-70.3125,1109461.0
175,-68.25,1115432.0
176,-67.6875,1121669.0
177,-68.0625,1127869.0
178,-65.4375,1133707.0
179,-64.875,1139817.0
180,-65.0625,1146595.0
181,-62.8125,1153115.0
182,-61.5,1159569.0
183,-58.875,1166090.0
184,-58.3125,1172380.0
185,-57.0,1178121.0
186,-55.6875,1184017.0
187,-54.375,1190297.0
188,-53.625,1196615.0
189,-52.125,1203191.0
190,-52.3125,1209423.0
191,-50.625,1215332.0
192,-50.0625,1221221.0
193,-47.25,1227254.0
194,-46.5,1233130.0
195,-45.1875,1238960.0
196,-44.0625,1244821.0
197,-41.4375,1251344.0
198,-39.0,1258253.0
199,-38.0625,1264851.0
200,-36.5625,1271374.0
201,-35.4375,1277568.0
202,-34.6875,1283536.0
203,-33.75,1289338.0
204,-31.6875,1295908.0
205,-32.8125,1302702.0
206,-30.9375,1309290.0
207,-27.375,1315767.0
208,-26.0625,1321907.0
