,data,time
0,-12.75,5792.0
1,-13.125,11503.0
2,-14.25,17276.0
3,-14.4375,23211.0
4,-16.125,29112.0
5,-15.5625,34993.0
6,-14.0625,41055.0
7,-13.875,47231.0
8,-16.125,53756.0
9,-14.4375,60307.0
10,-15.0,66680.0
11,-15.1875,72689.0
12,-13.125,78549.0
13,-12.9375,84462.0
14,-14.0625,90539.0
15,-14.25,97093.0
16,-13.3125,104004.0
17,-15.0,110619.0
18,-16.6875,117252.0
19,-14.4375,123350.0
20,-15.375,129341.0
21,-13.3125,135405.0
22,-13.6875,141898.0
23,-15.375,148854.0
24,-14.4375,155106.0
25,-12.75,161161.0
26,-13.125,167314.0
27,-13.3125,173162.0
28,-12.9375,179017.0
29,-13.125,184958.0
30,-12.1875,191601.0
31,-12.1875,198821.0
32,-13.3125,205499.0
33,-13.6875,211964.0
34,-11.4375,218250.0
35,-11.625,224707.0
36,-13.5,230630.0
37,-12.9375,236452.0
38,-13.6875,242652.0
39,-13.125,249030.0
40,-12.375,255287.0
41,-12.375,261465.0
42,-13.6875,267397.0
43,-12.75,273266.0
44,-11.625,279200.0
45,-12.1875,285112.0
46,-12.0,291668.0
47,-9.9375,298341.0
48,-8.4375,304985.0
49,-9.0,311333.0
50,-8.25,317601.0
51,-7.125,323538.0
52,-8.4375,329599.0
53,-12.9375,336630.0
54,-5.25,344395.0
55,2.25,350955.0
56,9.5625,357234.0
57,17.8125,363215.0
58,24.375,369526.0
59,31.6875,375450.0
60,39.5625,381379.0
61,46.3125,388786.0
62,56.4375,395928.0
63,65.4375,402357.0
64,69.75,409054.0
65,77.4375,415552.0
66,85.5,421988.0
67,90.9375,427886.0
68,98.625,434759.0
69,103.5,441674.0
70,109.5,448471.0
71,117.0,454812.0
72,121.875,461277.0
73,125.4375,467174.0
74,128.4375,473008.0
75,132.75,479559.0
76,136.125,487914.0
77,140.8125,495391.0
78,145.3125,502944.0
79,147.0,509838.0
80,150.5625,516628.0
81,152.0625,522629.0
82,153.375,529748.0
83,156.5625,536676.0
84,162.375,543827.0
85,162.1875,551100.0
86,164.625,556955.0
87,166.5,562759.0
88,165.0,569088.0
89,166.6875,575851.0
90,168.5625,584129.0
91,168.0,591603.0
92,167.25,598930.0
93,166.3125,606042.0
94,163.3125,611921.0
95,166.5,617747.0
96,168.0,624702.0
97,164.8125,631582.0
98,165.75,639182.0
99,165.9375,646444.0
100,162.9375,652305.0
101,162.375,658176.0
102,159.9375,664516.0
103,158.0625,672280.0
104,159.1875,679593.0
105,158.8125,686895.0
106,156.9375,694297.0
107,156.0,701514.0
108,156.375,707474.0
109,156.9375,713842.0
110,157.5,721609.0
111,156.5625,728909.0
112,153.0,736199.0
113,155.4375,742910.0
114,150.9375,748697.0
115,150.375,755009.0
116,150.375,761358.0
117,149.0625,769637.0
118,149.0625,777664.0
119,151.5,784829.0
120,149.4375,791316.0
121,150.9375,797751.0
122,152.4375,803700.0
123,150.9375,809476.0
124,141.75,816220.0
125,135.9375,822972.0
126,123.5625,829406.0
127,112.5,835675.0
128,103.5,841938.0
129,94.3125,848400.0
130,84.0,854176.0
131,76.5,860241.0
132,66.375,866150.0
133,62.625,871930.0
134,54.0,878516.0
135,49.3125,884673.0
136,42.75,890681.0
137,37.875,897021.0
138,32.0625,903003.0
139,26.25,908947.0
140,19.5,914818.0
141,18.0,920679.0
142,15.375,926685.0
143,10.5,933448.0
144,7.3125,940253.0
145,5.625,946872.0
146,3.9375,953574.0
147,3.5625,960126.0
148,2.625,966146.0
149,0.75,971920.0
150,-1.6875,978530.0
151,-5.25,984938.0
152,-6.5625,991444.0
153,-7.3125,997764.0
154,-6.375,1003899.0
155,-8.4375,1009690.0
156,-8.25,1015550.0
157,-5.25,1022274.0
158,-4.3125,1029357.0
159,-4.6875,1035778.0
160,-3.9375,1042093.0
161,-2.8125,1048514.0
162,-2.25,1054522.0
163,-1.125,1060653.0
164,-2.8125,1067455.0
165,-1.6875,1074415.0
166,1.125,1081115.0
167,0.0,1087562.0
168,0.1875,1093781.0
169,2.625,1099549.0
170,1.875,1105435.0
171,0.0,1111301.0
172,-2.8125,1117140.0
173,-1.125,1123277.0
174,1.3125,1130330.0
175,0.75,1136706.0
176,0.375,1142850.0
177,-0.375,1149033.0
178,0.5625,1154915.0
179,0.375,1161589.0
180,0.9375,1168256.0
181,1.875,1174490.0
182,2.625,1180776.0
183,3.5625,1186544.0
184,2.25,1192823.0
185,4.3125,1198726.0
186,5.0625,1204666.0
187,3.1875,1211042.0
188,7.3125,1217653.0
189,13.5,1224207.0
190,20.25,1231138.0
191,31.875,1237460.0
192,40.6875,1243345.0
193,49.3125,1249350.0
194,60.0,1255741.0
195,66.9375,1261757.0
196,77.0625,1267673.0
197,83.625,1274540.0
198,92.25,1282257.0
199,102.9375,1289822.0
200,108.9375,1296795.0
201,117.375,1303331.0
202,120.9375,1309297.0
203,125.4375,1315136.0
204,130.125,1321567.0
205,133.875,1327760.0
206,138.0,1334487.0
207,142.3125,1340981.0
208,145.875,1347123.0
209,148.5,1353035.0
210,151.875,1359100.0
211,154.875,1365603.0
212,155.4375,1372189.0
213,156.75,1378337.0
214,159.1875,1384830.0
215,157.125,1391143.0
216,158.0625,1397500.0
217,158.625,1403389.0
218,159.75,1409165.0
219,158.8125,1415390.0
220,159.1875,1421502.0
221,159.1875,1427685.0
222,156.375,1433894.0
223,160.6875,1439821.0
